author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34568691r#Expression,Le Rêve de Jean Valjean,"[Paris] : les Amis bibliophiles , 1975",[Paris],1975,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb346235861#Expression,"Ruy Blas : drame en vers, en 5 actes...","[Paris] : Comédie française , 1979",[Paris],1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34628604b#Expression,Théâtre complet 2,"[Paris] : Gallimard , 1979",[Paris],1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35560693n#Expression,OEuvres poétiques 1 : 1802-1851,"[Paris] : Gallimard , 1992",[Paris],1992,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35556888v#Expression,Les feuilles d'automne,"[Paris] : le Grand livre du mois , 1992",[Paris],1992,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb351434199#Expression,Les travailleurs de la mer,"[Paris] : Hachette , 1973",[Paris],1973,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb343226767#Expression,"Choses vues : souvenirs, journaux, cahiers...","[Paris] : Gallimard , 1971-",[Paris],1971,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb342940870#Expression,Œuvres poétiques,"[Paris] : Gallimard , 1964",[Paris],1964,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34900754b#Expression,Les misérables,"[Paris] : Gallimard , 1986",[Paris],1986,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb346145026#Expression,Les châtiments,"[Paris] : Gallimard , DL 1978",[Paris],1978,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35568883t#Expression,La légende des siècles,"[Paris] : Gallimard , 1993",[Paris],1993,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34293768d#Expression,Les Misérables,"Neuilly-sur-Seine : Saint-Clair ; Paris : diffusion F. Beauval , 1975",Neuilly-sur-Seine. - Paris,1975,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb346279236#Expression,Notre-Dame de Paris,"Paris : Hachette , 1979",Paris,1979,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34774070q#Expression,Notre-Dame de Paris,"Paris : l'École des loisirs , 1985",Paris,1985,http://id.loc.gov/vocabulary/iso639-2/fre
